restaurantid,restaurantname,cuisinetype,segment,subregion,scale_score,cost_discipline_score,aggregator_dependence,expansion_headroom,revenue_quality_score,total_revenue,total_net_profit,delivery_revenue_mix,instore_reliance,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,kmeans_cluster,hierarchical_cluster,dbscan_cluster,selected_method,selected_cluster,cluster_label_name,cluster_description,gpi_scale_norm,gpi_cost_discipline_norm,gpi_aggregator_penalty_norm,gpi_expansion_headroom_norm,gpi_revenue_quality_norm,gpi_delivery_revenue_mix_norm,gpi_instore_reliance_norm,gpi_score,gpi_band,gpi_rank,strategy_recommendation,recommendation_reason
25731,Urban Burgers House,Burgers,Cafe,North Shore,688.04,0.425086758178659,0.7,0.0164670658682634,0.7085022446312591,29371.96,7964.56,0.7050898203592815,0.42,-1.2702652249602164,-0.6448872662199607,2.852744937967074,-0.4373702146143698,2.532972848829558,-0.5171265289377694,-0.7830978530410122,-0.7089773189315892,-0.0158664976154742,0.7086073149773509,2,0,0,kmeans,2,Aggregator-Dependent Low Margin,Heavy channel dependence on aggregators is translating into weaker unit economics and constrained margin resilience.,0.0813335889500543,0.9073634378596348,0.5000000000000004,0.5048541285185968,0.6991065891419673,0.0599048113950273,0.923076923076923,51.63,Moderate Potential,639,Rebalance Channels,Moderate Potential (GPI 51.6) and elevated aggregator dependence indicate channel rebalancing is the highest-leverage action.
25123,Urban Burgers Diner,Burgers,QSR,South Auckland,1457.4,0.3441704929899429,0.7,0.0115273775216138,0.7287528326084362,56144.59999999999,8775.7,0.8134005763688763,0.23,2.282943583879324,1.030388326233963,0.9631724660179058,1.6463713050416644,1.1733649730541331,0.5765989247893525,-0.8813774320996923,0.6026847861385614,-0.541619549499909,-0.2732942769499836,1,0,0,kmeans,1,Scalable Profit Leaders,High scale with healthy profitability and cost control indicates strong strategic capacity for expansion.,0.6432229616848794,0.6860783824025053,0.5000000000000004,0.9005925956757193,0.7053324779738829,0.4870521350303215,0.4358974358974359,65.03,Moderate Potential,274,Optimize,Moderate Potential (GPI 65.0) is best improved through operational and commercial optimization.
25177,King Burgers Eatery,Burgers,Cafe,West Auckland,1785.68,0.372380329756998,0.7,0.0064065230052417,1.668416776265477,68731.51000000001,14403.26,0.6948165404775771,0.44,4.185792136172604,0.9261715764764782,1.0670549217251817,-0.3735481199480888,2.2119785872762616,-1.3390174138298916,0.3251889789149695,0.3398008989827419,-0.2920812613398597,1.3748200471466512,1,0,0,kmeans,1,Scalable Profit Leaders,High scale with healthy profitability and cost control indicates strong strategic capacity for expansion.,0.882976839299245,0.7632249891925684,0.5000000000000004,0.689154980561913,0.9942249910782652,0.019389869314505,0.9743589743589745,76.58,High Potential,79,Scale Aggressively,High Potential (GPI 76.6) with no major risk flags supports growth acceleration.
25540,Classic Burgers Tavern,Burgers,QSR,North Shore,1115.49,0.324893897040747,0.7,0.002770083102493,0.0337269735132698,39291.240000000005,5266.83,0.8005540166204985,0.25,-0.1111718311692178,-0.4048361513863328,1.200675833431205,-2.7496903269069164,-0.6155311548855416,-0.5863627511239978,1.609805649913844,0.2971085577230969,-0.7939686911695857,-0.2916671830201108,2,0,0,kmeans,2,Aggregator-Dependent Low Margin,Heavy channel dependence on aggregators is translating into weaker unit economics and constrained margin resilience.,0.3935146386218607,0.6333618785735898,0.5000000000000004,0.3978250317810679,0.4916520782289518,0.4363888969863145,0.4871794871794871,48.43,Moderate Potential,739,Rebalance Channels,Moderate Potential (GPI 48.4) and elevated aggregator dependence indicate channel rebalancing is the highest-leverage action.
25258,Lucky Burgers Bistro,Burgers,Cafe,South Auckland,1291.5,0.345105768297799,0.7,0.0073170731707317,0.1145446006200491,42238.2,6119.35,0.7878048780487804,0.27,0.9472560364348654,-0.1856131017161364,1.28449301132728,-0.478737208265961,-0.1173476357109053,-0.372510629861164,1.7736032058983708,1.4211564599495374,-0.59807023901234,0.1483470282308472,1,0,0,kmeans,1,Scalable Profit Leaders,High scale with healthy profitability and cost control indicates strong strategic capacity for expansion.,0.5220606359378851,0.6886361184508009,0.5000000000000004,0.7621028472031518,0.5164988413250696,0.3861098608111587,0.5384615384615385,56.9,Moderate Potential,470,Optimize,Moderate Potential (GPI 56.9) is best improved through operational and commercial optimization.
26138,King Burgers Kitchen,Burgers,QSR,North Shore,851.8100000000001,0.3391884833713989,0.7,0.0157194679564691,-0.0598978336072375,30499.76,4582.5,0.8065296251511488,0.24,-1.0619876184743684,-0.6300617472006667,2.058928063197382,0.8129607993036395,0.2987030311636076,-0.238953150358695,-0.5321310369704522,0.224602992712154,-0.3141214279286252,-0.2197481548639901,2,0,0,kmeans,2,Aggregator-Dependent Low Margin,Heavy channel dependence on aggregators is translating into weaker unit economics and constrained margin resilience.,0.2009403043664814,0.6724538747444183,0.5000000000000004,0.5647472292369871,0.4628678453119247,0.4599550254577415,0.4615384615384615,45.48,Moderate Potential,831,Rebalance Channels,Moderate Potential (GPI 45.5) and elevated aggregator dependence indicate channel rebalancing is the highest-leverage action.
25396,Urban Burgers Eatery,Burgers,QSR,South Auckland,925.05,0.4029075628286229,0.7,0.0079455164585698,1.1108786638331027,40807.92,9608.97,0.8002270147559593,0.25,-0.243801579425333,0.8612271881866264,2.10524424808645,-1.6257869735097827,1.9625032238890536,1.025570394988015,-0.7224314143842171,-0.2270423815440638,-0.4132515606091527,-0.1100508648642368,1,0,0,kmeans,1,Scalable Profit Leaders,High scale with healthy profitability and cost control indicates strong strategic capacity for expansion.,0.2544299290663599,0.846709075456961,0.5000000000000004,0.8124499877455131,0.8228141504907187,0.4350992931057052,0.4871794871794871,59.99,Moderate Potential,394,Optimize,Moderate Potential (GPI 60.0) is best improved through operational and commercial optimization.
25087,Urban Burgers Tavern,Burgers,Ghost Kitchen,CBD,792.0,0.4212239629356189,0.7,0.0225,-0.0316277662945971,27792.0,5056.68,0.91,0.1,-1.9525071427231508,0.7128057852654222,2.3144174151579384,2.852948997364688,-1.7323114002961737,-0.5810303470263637,0.2073019685413771,-0.8877829449403449,1.0432837475191576,0.0631390590942774,2,0,0,kmeans,2,Aggregator-Dependent Low Margin,Heavy channel dependence on aggregators is translating into weaker unit economics and constrained margin resilience.,0.1572590584175499,0.8967996920221062,0.5000000000000004,0.0215313076826122,0.4715592619047482,0.868013239808237,0.1025641025641025,43.87,Caution Zone,879,Optimize,Caution Zone (GPI 43.9) with mixed signals suggests targeted optimization as the immediate priority.
25125,Classic Burgers Tavern,Burgers,Cafe,CBD,605.88,0.344817053670995,0.7,0.0130718954248366,-0.300131284636334,20067.480000000003,3426.42,0.7516339869281045,0.33,-2.7170586628695417,-1.718759649867975,2.442405589235457,-0.8404572509974528,-0.6399076605648217,-1.9125261864439995,-0.2328987482542709,-0.3832610285417679,0.3909440272225907,0.4647839526523595,2,0,0,kmeans,2,Aggregator-Dependent Low Margin,Heavy channel dependence on aggregators is translating into weaker unit economics and constrained margin resilience.,0.0213293895324953,0.6878465586255346,0.5000000000000004,0.7768550024057523,0.3890099029400671,0.2434619844143614,0.6923076923076923,42.02,Caution Zone,943,Optimize,Caution Zone (GPI 42.0) with mixed signals suggests targeted optimization as the immediate priority.
25762,Lucky Burgers Cafe,Burgers,QSR,South Auckland,600.6,0.34942136274185,0.7,0.0192307692307692,-0.2032497036811617,20632.04,3748.22,0.7762237762237763,0.29,-2.701821288050877,-1.2090292698370309,2.580249698968204,-0.0534270594703324,1.2598540786427126,0.0043811965520667,-1.3397607797907969,1.3206373024737958,-0.8134619129973735,-0.4050561340795902,2,0,0,kmeans,2,Aggregator-Dependent Low Margin,Heavy channel dependence on aggregators is translating into weaker unit economics and constrained margin resilience.,0.0174732287130611,0.7004381529818691,0.5000000000000004,0.2834426435011571,0.4187954061346864,0.3404372348269017,0.5897435897435896,37.81,Caution Zone,1073,Optimize,Caution Zone (GPI 37.8) with mixed signals suggests targeted optimization as the immediate priority.
