cuisinetype,restaurantid,restaurantname,segment,subregion,growthfactor,aov,monthlyorders,instoreorders,instorerevenue,ubereatsorders,doordashorders,selfdeliveryorders,ubereatsrevenue,doordashrevenue,selfdeliveryrevenue,cogsrate,opexrate,commissionrate,deliveryradiuskm,deliverycostperorder,sd_deliverytotalcost,instorenetprofit,ubereatsnetprofit,doordashnetprofit,selfdeliverynetprofit,instoreshare,ue_share,dd_share,sd_share,scale_score,cost_discipline_score,aggregator_dependence,expansion_headroom,revenue_quality_score,total_revenue,total_net_profit,delivery_revenue_mix,instore_reliance
Burgers,25731,Urban Burgers House,Cafe,North Shore,1.03,43.97,668,197,8662.09,212,118,141,9321.64,5188.46,6199.77,0.2087414306961,0.366171811125241,0.28,11,3.25,458.25,3682.14,1352.45,752.78,2177.19,0.42,0.45,0.25,0.3,688.04,0.42508675817865904,0.7,0.016467065868263474,0.7085022446312591,29371.96,7964.5599999999995,0.7050898203592815,0.42
Burgers,25123,Urban Burgers Diner,QSR,South Auckland,1.05,40.45,1388,259,10476.55,508,282,339,20548.6,11406.9,13712.55,0.248216602616012,0.407612904394045,0.28,16,4.72,1600.08,3605.72,1318.61,731.99,3119.38,0.23,0.45,0.25,0.3,1457.4,0.34417049298994296,0.7,0.011527377521613832,0.7287528326084362,56144.59999999999,8775.7,0.8134005763688763,0.23
Burgers,25177,King Burgers Eatery,Cafe,West Auckland,1.04,40.03,1717,524,20975.72,537,298,358,21496.11,11928.94,14330.74,0.219687956366688,0.407931713876314,0.3,11,3.25,1163.5,7810.95,1555.9,863.42,4172.99,0.44,0.45,0.25,0.3,1785.68,0.372380329756998,0.7,0.0064065230052417,1.668416776265477,68731.51000000001,14403.26,0.6948165404775771,0.44
Burgers,25540,Classic Burgers Tavern,QSR,North Shore,1.03,36.28,1083,216,7836.48,390,217,260,14149.2,7872.76,9432.8,0.237290996648371,0.437815106310882,0.33,3,0.89,231.4,2546.02,-72.25,-40.2,2833.26,0.25,0.45,0.25,0.3,1115.49,0.324893897040747,0.7,0.002770083102493075,0.03372697351326988,39291.240000000005,5266.83,0.8005540166204985,0.25
Burgers,25258,Lucky Burgers Bistro,Cafe,South Auckland,1.05,34.34,1230,261,8962.74,436,242,291,14972.24,8310.28,9992.94,0.221437567938119,0.433456663764082,0.33,9,2.66,774.06,3093.09,226.17,125.53,2674.56,0.27,0.45,0.25,0.3,1291.5,0.34510576829779904,0.7,0.007317073170731708,0.11454460062004918,42238.200000000004,6119.35,0.7878048780487804,0.27
Burgers,26138,King Burgers Kitchen,QSR,North Shore,1.03,36.88,827,160,5900.8,300,167,200,11064.0,6158.96,7376.0,0.265131494924426,0.395680021704175,0.29,13,3.84,768.0,2001.48,544.22,302.95,1733.85,0.24,0.45,0.25,0.3,851.8100000000001,0.33918848337139895,0.7,0.015719467956469165,-0.05989783360723759,30499.76,4582.5,0.8065296251511488,0.24
Burgers,25396,Urban Burgers Eatery,QSR,South Auckland,1.05,46.32,881,176,8152.32,317,176,212,14683.44,8152.32,9819.84,0.224100138861686,0.372992298309691,0.28,7,2.07,438.84,3284.63,1804.71,1001.98,3517.65,0.25,0.45,0.25,0.3,925.0500000000001,0.40290756282862294,0.7,0.007945516458569807,1.1108786638331027,40807.92,9608.97,0.8002270147559593,0.25
Burgers,25087,Urban Burgers Tavern,Ghost Kitchen,CBD,0.99,34.74,800,72,2501.28,328,182,218,11394.72,6322.68,7573.32,0.285647804650944,0.293128232413437,0.31,18,5.31,1157.58,1053.6,1267.37,703.23,2032.48,0.1,0.45,0.25,0.3,792.0,0.4212239629356189,0.7,0.0225,-0.031627766294597154,27792.0,5056.68,0.91,0.1
Burgers,25125,Classic Burgers Tavern,Cafe,CBD,0.99,32.79,612,152,4984.08,207,115,138,6787.53,3770.85,4525.02,0.279599561002105,0.3755833853269,0.3,8,2.36,325.68,1718.6,304.2,169.0,1234.62,0.33,0.45,0.25,0.3,605.88,0.344817053670995,0.7,0.013071895424836602,-0.30013128463633404,20067.480000000003,3426.42,0.7516339869281045,0.33
Burgers,25762,Lucky Burgers Cafe,QSR,South Auckland,1.05,36.07,572,128,4616.96,200,111,133,7214.0,4003.77,4797.31,0.22032218426466,0.43025645299349,0.27,11,3.25,432.25,1613.26,572.95,317.98,1244.03,0.29,0.45,0.25,0.3,600.6,0.34942136274185,0.7,0.019230769230769232,-0.20324970368116177,20632.04,3748.2200000000003,0.7762237762237763,0.29
Burgers,25009,Lucky Burgers Eatery,Cafe,South Auckland,1.05,45.34,1036,274,12423.16,343,190,229,15551.62,8614.6,10382.86,0.267623493429273,0.392365170945413,0.31,13,3.84,879.36,4224.02,466.72,258.54,2650.93,0.36,0.45,0.25,0.3,1087.8,0.34001133562531405,0.7,0.012548262548262547,0.6847199672480251,46972.24,7600.210000000001,0.7355212355212356,0.36
Burgers,25107,King Burgers Eatery,Ghost Kitchen,CBD,0.99,42.53,953,62,2636.86,401,223,267,17054.53,9484.19,11355.51,0.260719021281693,0.292267443262972,0.29,10,2.95,787.65,1178.71,2677.79,1489.15,4288.42,0.07,0.45,0.25,0.3,943.47,0.44701353545533506,0.7,0.01049317943336831,0.9609699648507039,40531.090000000004,9634.07,0.9349422875131165,0.07
Burgers,25352,King Burgers Bistro,Ghost Kitchen,North Shore,1.03,31.83,1354,100,3183.0,564,314,376,17952.12,9994.62,11968.08,0.259987647132948,0.224010411184281,0.33,15,4.43,1665.68,1642.43,3339.13,1859.02,4509.87,0.08,0.45,0.25,0.3,1394.6200000000001,0.516001941682771,0.7,0.011078286558345642,0.7555017625938109,43097.82,11350.45,0.9261447562776958,0.08
Burgers,25255,Urban Burgers Diner,Cafe,North Shore,1.03,37.65,1511,302,11370.3,544,302,363,20481.6,11370.3,13666.95,0.210879622809589,0.369592107273638,0.28,16,4.72,1713.36,4770.16,2857.76,1586.48,4020.31,0.25,0.45,0.25,0.3,1556.33,0.41952826991677306,0.7,0.010589013898080741,1.3364778922043195,56889.149999999994,13234.71,0.8001323626737261,0.25
Burgers,26270,Top Burgers Diner,Ghost Kitchen,CBD,0.99,42.95,1382,53,2276.35,598,332,399,25684.1,14259.4,17137.05,0.259372560633346,0.309947346220724,0.29,18,5.31,2118.69,980.38,3613.24,2006.01,5261.9,0.04,0.45,0.25,0.3,1368.18,0.43068009314593003,0.7,0.013024602026049204,1.3838283727027345,59356.899999999994,11861.529999999999,0.9616497829232997,0.04
Burgers,25612,Classic Burgers Bistro,QSR,South Auckland,1.05,45.49,998,193,8779.57,362,201,242,16467.38,9143.49,11008.58,0.253722506202757,0.430719664134085,0.28,4,1.18,285.56,2770.46,585.54,325.12,3188.28,0.24,0.45,0.25,0.3,1047.9,0.31555782966315804,0.7,0.004008016032064128,0.5485762904333537,45399.020000000004,6869.4,0.8066132264529058,0.24
Burgers,25436,Classic Burgers Tavern,Full-service,North Shore,1.03,42.97,718,242,10398.74,214,119,143,9195.58,5113.43,6144.71,0.368939419602975,0.501108688791282,0.32,8,2.36,337.48,1351.34,-1747.6,-971.8,461.04,0.51,0.45,0.25,0.3,739.54,0.12995189160574294,0.7,0.011142061281337047,-0.9418543769263071,30852.46,-907.02,0.6629526462395544,0.51
Burgers,25260,Classic Burgers Cafe,Full-service,West Auckland,1.04,32.34,2051,646,20891.64,632,351,422,20438.88,11351.34,13647.48,0.373705843370408,0.465107345278375,0.28,13,3.84,1620.48,3367.46,-2428.41,-1348.69,579.31,0.46,0.45,0.25,0.3,2133.04,0.16118681135121693,0.7,0.006338371526084837,-0.7533080073485651,66329.34,169.67000000000007,0.6850316918576305,0.46
Burgers,25452,Lucky Burgers Kitchen,Cafe,CBD,0.99,30.92,1308,324,10018.08,443,246,295,13697.56,7606.32,9121.4,0.23099601617083,0.373214836767875,0.31,11,3.25,958.75,3965.05,1175.1,652.54,2651.4,0.33,0.45,0.25,0.3,1294.92,0.3957891470612951,0.7,0.008409785932721712,0.33061698931821365,40443.36,8444.09,0.7522935779816513,0.33
Burgers,25319,King Burgers Diner,Cafe,West Auckland,1.04,45.6,799,184,8390.4,277,154,184,12631.2,7022.4,8390.4,0.279372675232589,0.399700684985146,0.29,15,4.43,815.12,2692.7,390.64,217.18,1877.58,0.3,0.45,0.25,0.3,830.96,0.320926639782265,0.7,0.01877346683354193,0.22472863266365548,36434.4,5178.099999999999,0.7697121401752189,0.3
