evaluation_type,iteration,seed,sample_fraction,ari,nmi,inertia,centroid_shift
seed_rerun_vs_baseline,0,42,1.0,1.0,1.0,31065.320045921748,3.5283208245810786e-16
seed_rerun_vs_baseline,1,7,1.0,1.0,1.0,31065.320045921748,3.0229881369217686e-16
seed_rerun_vs_baseline,2,11,1.0,1.0,1.0,31065.320045921748,3.215459683145971e-16
seed_rerun_vs_baseline,3,19,1.0,1.0,1.0,31065.320045921748,3.4348665912543823e-16
seed_rerun_vs_baseline,4,23,1.0,1.0,1.0,31065.320045921748,2.869089880201586e-16
seed_rerun_vs_baseline,5,29,1.0,1.0,1.0,31065.320045921748,2.870408277204087e-16
seed_rerun_vs_baseline,6,37,1.0,1.0,1.0,31065.320045921748,3.2292328169485694e-16
seed_rerun_vs_baseline,7,53,1.0,1.0,1.0,31065.320045921748,3.3337890257109047e-16
seed_rerun_vs_baseline,8,71,1.0,1.0,1.0,31065.320045921748,2.6818248476470927e-16
seed_rerun_vs_baseline,9,89,1.0,1.0,1.0,31065.320045921748,2.2336310351746646e-16
subsample_vs_reference,1,1042,0.8,0.9880196639605674,0.978962330411988,24721.990884978703,0.08942565077353341
subsample_vs_reference,2,1043,0.8,0.9924363691203568,0.987184301565088,24886.467511963274,0.08642238283746277
subsample_vs_reference,3,1044,0.8,0.9652017322862301,0.9552692087224482,25061.172119198345,0.14285751612674794
subsample_vs_reference,4,1045,0.8,0.9754526050082047,0.9634815266120614,24661.789790355237,0.11514643023439174
subsample_vs_reference,5,1046,0.8,0.9899623840088072,0.9837625348894087,24737.71198655253,0.0981700067624589
subsample_vs_reference,6,1047,0.8,0.9801767110608185,0.9651622826592133,24875.69069610724,0.127976708061992
subsample_vs_reference,7,1048,0.8,0.9679776418993935,0.9529546299598565,25033.36798862932,0.12555936675807092
subsample_vs_reference,8,1049,0.8,0.9654263664081579,0.9555283961962541,24778.945246551386,0.13731489794622312
subsample_vs_reference,9,1050,0.8,0.9706610454583817,0.9582830822886254,25013.599938495452,0.1159756985117147
subsample_vs_reference,10,1051,0.8,0.980432860361147,0.9673365693584723,24737.03509466393,0.11438057462955357
subsample_vs_reference,11,1052,0.8,0.9779870608580392,0.9664923829674904,24852.95897553348,0.11343077943922443
subsample_vs_reference,12,1053,0.8,0.9874696699164881,0.980467720538573,24560.122319887752,0.11180517447453547
subsample_vs_reference,13,1054,0.8,0.9578388698913761,0.9409015814214174,24998.861830505277,0.1340881535510706
subsample_vs_reference,14,1055,0.8,0.9773269553961539,0.9682374911232452,24833.541809418995,0.12735007328718906
subsample_vs_reference,15,1056,0.8,0.9730712910693313,0.9586840628554212,24678.496035502554,0.1273250651067596
subsample_vs_reference,16,1057,0.8,0.9924408385103195,0.9871916844957714,25025.49216182586,0.07836178243467219
subsample_vs_reference,17,1058,0.8,0.9631890146582348,0.9503596255493819,24651.037349815244,0.1467590562881495
subsample_vs_reference,18,1059,0.8,0.9726668704471314,0.9631313808784292,25093.56226513481,0.10737399535971191
subsample_vs_reference,19,1060,0.8,0.97110053155743,0.95694953285594,24782.771325214668,0.12565811182231382
subsample_vs_reference,20,1061,0.8,0.9731649056404558,0.9609908564872268,24774.67727797682,0.12336948918707187
